EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE936782491654,05374028,Oberbergischer Kreis,Morsbach,7.731541,50.912029,2009-12-22,35,800.000,800.000,888
SEE924159317249,03360018,Uelzen,Rosche,10.754944,52.964828,2006-11-02,35,1500.000,1500.000,888
SEE904809571702,03360018,Uelzen,Rosche,10.752183,52.967644,2006-10-09,35,1500.000,1500.000,888
SEE911624354106,07140076,Rhein-Hunsrück-Kreis,Külz (Hunsrück),7.518265,50.007804,2012-06-15,35,2300.000,2300.000,888
SEE917744524542,04011000,Bremen,Bremen,8.680959,53.145921,2012-01-27,35,3400.000,3400.000,888
SEE913484530461,07140076,Rhein-Hunsrück-Kreis,Külz (Hunsrück),7.518168,50.005022,2012-06-22,35,2300.000,2300.000,888
SEE922279120060,04011000,Bremen,Bremen,8.709657,53.133844,2014-06-04,35,2300.000,2300.000,888
SEE993215270255,03358003,Heidekreis,Böhme,9.482144,52.894728,2015-01-29,35,2400.000,2400.000,888
SEE944353714866,03358003,Heidekreis,Böhme,9.479917,52.892500,2015-01-29,35,2400.000,2400.000,888
SEE993203565554,03358003,Heidekreis,Böhme,9.477608,52.889397,2015-01-29,35,2400.000,2400.000,888
SEE900331994422,03358003,Heidekreis,Böhme,9.473829,52.889406,2015-02-19,35,2400.000,2400.000,888
SEE956702278684,03358003,Heidekreis,Böhme,9.470475,52.884750,2015-02-26,35,2400.000,2400.000,888
SEE943784717026,14627100,Meißen,Klipphausen,13.580590,51.023939,2000-11-07,35,600.000,600.000,888
SEE912078481110,01059044,Schleswig-Flensburg,Jübek,9.407700,54.544500,2000-08-01,38,660.000,660.000,888
SEE954210592353,03358003,Heidekreis,Böhme,9.490325,52.894289,2015-02-04,35,2400.000,2400.000,888
SEE903802358860,07140076,Rhein-Hunsrück-Kreis,Külz (Hunsrück),7.517962,50.010495,2012-06-28,35,2300.000,2300.000,888
SEE934181325822,03358003,Heidekreis,Böhme,9.484825,52.890531,2015-02-22,35,2400.000,2400.000,888
SEE906898434319,02000000,Hamburg,Hamburg,10.103246,53.453797,1998-01-07,35,600.000,600.000,888
SEE968285439857,07140076,Rhein-Hunsrück-Kreis,Külz (Hunsrück),7.516852,50.013944,2012-07-13,35,2300.000,2300.000,888
SEE991134257616,13071057,Mecklenburgische Seenplatte,Groß Teetzleben,13.197981,53.647088,2012-11-08,35,3075.000,3075.000,888
SEE987304374849,07140076,Rhein-Hunsrück-Kreis,Külz (Hunsrück),7.511313,50.012861,2012-08-03,35,2300.000,2300.000,888
SEE906504501749,06633025,Kassel,Trendelburg,9.378483,51.572552,2016-12-28,35,2780.000,2780.000,888
SEE974638687417,03353027,Harburg,Otter,9.713030,53.143000,2011-10-07,35,2300.000,2300.000,888
SEE935968776400,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.966383,51.666837,2011-12-22,35,2300.000,2300.000,888
SEE994271536972,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.968328,51.664513,2011-12-22,35,2300.000,2300.000,888
SEE949458974719,05774040,Paderborn,Bad Wünnenberg,8.795645,51.561515,2016-03-10,35,2300.000,2300.000,888
SEE925608773111,05774040,Paderborn,Bad Wünnenberg,8.787271,51.557902,2016-06-28,35,2050.000,2050.000,888
SEE935818148760,12073578,Uckermark,Uckerfelde,13.977171,53.217865,2003-10-22,35,1800.000,1800.000,888
SEE952571582204,05774040,Paderborn,Bad Wünnenberg,8.808763,51.553501,2016-03-17,35,2970.000,2970.000,888
SEE942724767664,03462019,Wittmund,Wittmund,7.811771,53.643765,1994-11-15,35,600.000,600.000,888
SEE930262047027,03353027,Harburg,Otter,9.718212,53.142762,2011-10-14,35,2300.000,2300.000,888
SEE960125427406,03351025,Celle,Eschede,10.267152,52.678408,2004-12-21,35,2000.000,2000.000,888
SEE948580601494,03353027,Harburg,Otter,9.719093,53.140034,2011-10-05,35,2300.000,2300.000,888
SEE960961885736,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.944881,51.662702,2012-05-31,35,2300.000,2300.000,888
SEE932847906859,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.945449,51.656958,2012-06-01,35,2300.000,2300.000,888
